CustID,FirstPolYear,BirthYear,EducDeg,MonthSal,GeoLivArea,Children,CustMonVal,ClaimsRate,PremMotor,PremHousehold,PremHealth,PremLife,PremWork
70.0,1989.0,1984.0,b'3 - BSc/MSc',2119.0,4.0,1.0,316.98,0.36,384.63,-40.55,151.03,20.56,17.89
71.0,1994.0,1952.0,b'2 - High School',3382.0,2.0,0.0,83.9,0.84,183.48,108.9,252.38,65.68,79.68
72.0,1985.0,1989.0,b'3 - BSc/MSc',1159.0,4.0,1.0,195.82,0.72,150.03,236.7,286.61,70.79,33.23
73.0,1990.0,1951.0,b'3 - BSc/MSc',3206.0,4.0,1.0,-25.0,1.0,213.15,217.25,242.6,56.9,59.9
74.0,1993.0,1956.0,b'2 - High School',2336.0,1.0,1.0,272.61,0.63,246.49,264.5,223.71,51.12,20.78
75.0,1985.0,1980.0,b'2 - High School',1440.0,1.0,1.0,-25.0,1.0,436.75,65.0,140.47,12.89,0.89
76.0,1996.0,1956.0,b'3 - BSc/MSc',2934.0,4.0,1.0,234.83,0.66,289.5,211.7,217.82,22.67,29.67
77.0,1996.0,1949.0,b'3 - BSc/MSc',4196.0,4.0,0.0,747.03,0.2,183.48,471.75,190.37,43.12,73.68
78.0,1984.0,1962.0,b'2 - High School',3284.0,4.0,1.0,74.45,0.85,290.61,99.45,180.59,51.9,50.01
79.0,1978.0,1951.0,b'4 - PhD',3091.0,3.0,1.0,-50.31,1.04,429.86,-6.1,141.47,6.89,-3.11
80.0,1978.0,1948.0,b'3 - BSc/MSc',3901.0,4.0,0.0,352.96,0.42,342.73,83.35,150.25,48.12,30.23
81.0,1980.0,1961.0,b'1 - Basic',2318.0,4.0,1.0,14.34,0.95,355.51,304.5,136.58,39.34,21.67
82.0,1986.0,1982.0,b'2 - High School',1431.0,3.0,1.0,274.19,0.46,368.07,-25.55,163.81,29.56,17.78
83.0,1992.0,1962.0,b'2 - High School',3234.0,2.0,1.0,308.31,0.35,463.31,-65.0,104.02,0.89,5.78
84.0,1995.0,1985.0,b'3 - BSc/MSc',1792.0,1.0,1.0,423.53,0.33,291.39,132.25,209.93,30.56,5.67
85.0,1997.0,1959.0,b'2 - High School',2656.0,3.0,1.0,-47.67,1.03,238.49,221.7,244.49,22.67,64.01
86.0,1976.0,1968.0,b'3 - BSc/MSc',2479.0,3.0,0.0,317.83,0.61,399.63,344.5,114.91,7.0,8.67
87.0,1994.0,1988.0,b'3 - BSc/MSc',1631.0,4.0,1.0,-19.22,0.99,326.06,307.85,166.81,7.89,5.78
88.0,1997.0,1970.0,b'3 - BSc/MSc',2423.0,2.0,1.0,-46.0,1.03,581.33,55.0,17.67,-6.0,-1.0
89.0,1995.0,1983.0,b'3 - BSc/MSc',1779.0,3.0,1.0,-139.11,1.21,193.26,-30.55,291.5,65.68,12.67
90.0,1989.0,1943.0,b'3 - BSc/MSc',3860.0,4.0,0.0,-54.56,1.05,216.93,48.35,315.95,12.78,16.78
91.0,1991.0,1984.0,b'3 - BSc/MSc',1416.0,3.0,1.0,402.18,0.4,282.61,163.35,214.04,38.23,19.45
92.0,1993.0,1939.0,b'1 - Basic',3903.0,3.0,0.0,238.94,0.64,263.94,196.15,221.93,31.34,29.56
93.0,1987.0,1953.0,b'3 - BSc/MSc',2976.0,1.0,1.0,-66.12,1.06,324.84,83.35,159.92,32.45,41.12
94.0,1982.0,1979.0,b'3 - BSc/MSc',1986.0,4.0,1.0,400.86,0.44,393.63,192.8,136.47,11.67,20.56
95.0,1992.0,1984.0,b'4 - PhD',1270.0,2.0,1.0,174.37,0.71,230.82,126.7,263.05,31.45,25.34
96.0,1976.0,1986.0,b'3 - BSc/MSc',2668.0,4.0,1.0,-25.0,1.0,296.5,70.0,200.15,60.79,8.67
97.0,1992.0,1964.0,b'3 - BSc/MSc',2831.0,4.0,1.0,-91.0,1.12,520.1,-20.0,45.01,-1.0,-8.0
98.0,1996.0,1938.0,b'2 - High School',3924.0,4.0,0.0,120.47,0.81,169.81,244.5,224.82,26.56,118.91
99.0,1988.0,1950.0,b'1 - Basic',3870.0,1.0,1.0,179.26,0.68,204.26,82.8,110.02,185.48,59.68
100.0,1984.0,1967.0,b'2 - High School',2805.0,1.0,1.0,14.23,0.94,427.08,142.8,104.13,1.89,37.34
101.0,1977.0,1960.0,b'2 - High School',2744.0,4.0,1.0,-55.56,1.05,424.97,69.45,133.47,23.67,6.89
102.0,1981.0,1956.0,b'1 - Basic',2694.0,3.0,1.0,654.9,0.39,62.68,648.45,210.15,31.45,156.03
103.0,1981.0,1980.0,b'2 - High School',2071.0,4.0,1.0,-25.0,1.0,190.59,317.85,188.37,6.89,118.58
104.0,1975.0,1952.0,b'3 - BSc/MSc',3194.0,2.0,0.0,257.84,0.53,234.49,48.35,219.82,67.68,28.45
105.0,1996.0,1979.0,b'2 - High School',2342.0,1.0,1.0,46.12,0.89,349.4,73.9,170.92,37.23,2.78
106.0,1986.0,1988.0,b'3 - BSc/MSc',2019.0,4.0,1.0,-2.65,0.97,89.24,82.25,408.41,19.56,40.34
107.0,1979.0,1948.0,b'3 - BSc/MSc',3480.0,3.0,0.0,201.82,0.71,297.61,240.6,218.82,13.78,14.67
108.0,1989.0,1958.0,b'2 - High School',3673.0,3.0,1.0,133.81,0.77,292.61,108.35,117.91,12.67,146.14
109.0,1991.0,1995.0,b'1 - Basic',764.0,4.0,1.0,71.24,0.93,79.68,912.95,97.24,213.04,16.56
110.0,1980.0,1976.0,b'2 - High School',2126.0,3.0,1.0,317.29,0.54,368.29,158.35,189.37,22.67,-1.11
111.0,1990.0,1966.0,b'3 - BSc/MSc',2039.0,4.0,1.0,385.66,0.25,482.09,-35.55,99.13,1.0,-0.11
112.0,1991.0,1950.0,b'3 - BSc/MSc',3507.0,3.0,0.0,343.52,0.43,330.95,72.8,108.91,35.23,99.35
113.0,1997.0,1979.0,b'4 - PhD',2354.0,1.0,1.0,-8719.04,15.65,518.32,4.45,55.9,3.89,10.89
114.0,1993.0,1971.0,b'3 - BSc/MSc',2257.0,3.0,1.0,231.49,0.66,285.83,182.25,231.82,29.34,29.56
115.0,1992.0,1973.0,b'3 - BSc/MSc',2059.0,4.0,1.0,344.3,0.49,405.3,187.25,136.58,9.78,-12.0
116.0,1988.0,1975.0,b'2 - High School',1834.0,3.0,1.0,330.51,0.48,359.29,127.25,187.59,2.89,0.89
117.0,1994.0,1966.0,b'3 - BSc/MSc',2684.0,1.0,1.0,498.54,0.14,506.54,10.0,71.68,7.89,14.89
118.0,1979.0,1954.0,b'2 - High School',3128.0,4.0,1.0,283.95,0.61,279.61,251.7,178.7,29.34,60.9
119.0,1978.0,1960.0,b'2 - High School',2181.0,3.0,1.0,525.88,0.41,142.47,437.3,246.49,43.12,70.46
120.0,1986.0,1948.0,b'3 - BSc/MSc',3650.0,3.0,0.0,305.05,0.62,324.95,330.05,159.14,31.34,26.56
121.0,1989.0,1984.0,b'2 - High School',1444.0,1.0,1.0,422.18,0.56,311.17,511.75,109.02,8.89,64.57
122.0,1997.0,1956.0,b'3 - BSc/MSc',2402.0,4.0,1.0,290.17,0.57,273.94,181.7,199.15,29.45,41.23
123.0,1997.0,1989.0,b'1 - Basic',1518.0,1.0,1.0,643.24,0.18,286.5,294.5,78.57,87.24,68.68
124.0,1991.0,1959.0,b'1 - Basic',2957.0,1.0,1.0,68.35,0.89,230.71,343.95,152.03,93.35,36.23
125.0,1980.0,1969.0,b'3 - BSc/MSc',2614.0,1.0,1.0,319.31,0.35,442.64,-50.0,130.69,11.89,-5.11
126.0,1991.0,1990.0,b'2 - High School',1412.0,1.0,1.0,180.04,0.64,240.38,3.9,227.82,66.68,35.34
127.0,1977.0,1967.0,b'2 - High School',1853.0,4.0,1.0,-21.0,0.99,478.09,108.9,94.35,9.89,13.89
128.0,1978.0,1952.0,b'2 - High School',3481.0,3.0,0.0,-19.11,1.0,132.58,750.15,168.7,71.79,65.9
129.0,1982.0,1946.0,b'3 - BSc/MSc',3971.0,1.0,0.0,23.8,0.91,202.04,-55.0,173.81,98.24,106.02
130.0,1979.0,1953.0,b'4 - PhD',3272.0,1.0,1.0,93.25,0.82,437.75,87.8,83.46,37.34,6.89
131.0,1989.0,1977.0,b'2 - High School',1615.0,4.0,1.0,317.06,0.49,219.04,113.35,311.06,10.78,20.45
132.0,1997.0,1968.0,b'2 - High School',2328.0,2.0,1.0,518.1,0.12,489.87,44.45,74.57,5.0,3.78
133.0,1994.0,1982.0,b'3 - BSc/MSc',1423.0,4.0,1.0,-67.23,1.06,167.92,171.7,347.51,21.56,20.67
134.0,1978.0,1943.0,b'3 - BSc/MSc',3577.0,2.0,0.0,100.79,0.82,243.27,138.35,237.71,35.34,47.9
135.0,1976.0,1977.0,b'4 - PhD',1810.0,2.0,1.0,543.21,0.14,490.98,79.45,86.35,-1.11,3.89
136.0,1997.0,1988.0,b'3 - BSc/MSc',2176.0,4.0,1.0,-10198.91,14.8,297.61,162.8,143.36,136.47,-3.0
137.0,1988.0,1972.0,b'3 - BSc/MSc',2516.0,4.0,0.0,241.72,0.65,232.49,225.6,256.27,41.12,5.89
138.0,1994.0,1953.0,b'2 - High School',3799.0,4.0,0.0,456.76,0.31,354.51,127.25,105.13,104.02,9.89
139.0,1979.0,1976.0,b'2 - High School',2538.0,2.0,1.0,149.59,0.69,194.26,305.6,,37.34,17.67
140.0,1978.0,1957.0,b'2 - High School',3221.0,1.0,1.0,649.67,0.25,320.17,349.5,193.48,30.45,5.0
141.0,1987.0,1959.0,b'2 - High School',2765.0,1.0,1.0,511.42,0.41,285.83,364.5,149.36,73.57,40.34
142.0,1997.0,1951.0,b'4 - PhD',3097.0,1.0,0.0,-12.11,0.98,391.63,152.25,131.47,18.67,5.78
143.0,1984.0,1986.0,b'4 - PhD',1266.0,2.0,1.0,210.71,0.66,213.04,138.35,287.5,19.56,42.23
144.0,1996.0,1990.0,b'3 - BSc/MSc',,4.0,1.0,-42.45,1.02,146.36,353.95,220.04,121.8,42.01
145.0,1996.0,1980.0,b'2 - High School',1807.0,4.0,1.0,-44.78,1.03,345.73,18.9,180.48,35.34,19.78
146.0,1983.0,1986.0,b'1 - Basic',2554.0,1.0,1.0,-96.11,1.12,144.36,-11.1,381.85,47.23,12.78
147.0,1992.0,1983.0,b'3 - BSc/MSc',2342.0,4.0,1.0,72.8,0.85,272.72,97.8,177.7,48.12,57.79
148.0,1979.0,1954.0,b'2 - High School',2951.0,3.0,1.0,374.41,0.43,116.69,123.9,173.81,131.47,151.25
149.0,1982.0,1966.0,b'3 - BSc/MSc',2649.0,3.0,1.0,521.99,0.09,522.1,15.0,44.12,9.89,7.89
150.0,1989.0,1994.0,b'1 - Basic',984.0,4.0,1.0,255.71,0.63,64.9,197.25,29.56,18.56,451.53
151.0,1993.0,1948.0,b'2 - High School',3686.0,4.0,0.0,463.54,0.47,264.94,426.75,167.81,30.45,31.34
152.0,1977.0,1984.0,b'2 - High School',1146.0,3.0,1.0,433.97,0.48,165.03,358.95,241.38,6.89,106.91
153.0,1981.0,1989.0,b'2 - High School',1753.0,4.0,0.0,10.34,0.97,125.8,785.7,79.57,136.47,101.13
154.0,1990.0,1981.0,b'3 - BSc/MSc',1684.0,3.0,1.0,-40.55,1.03,423.08,-15.55,129.47,8.78,11.78
155.0,1997.0,1967.0,b'3 - BSc/MSc',2333.0,2.0,0.0,477.21,0.12,512.32,-10.0,58.9,3.89,4.0
156.0,1986.0,1992.0,b'3 - BSc/MSc',1354.0,3.0,0.0,589.33,0.43,100.13,614.55,321.84,-0.11,48.23
157.0,1984.0,1949.0,b'2 - High School',3825.0,4.0,0.0,130.04,0.78,321.95,175.6,189.59,20.56,3.78
158.0,1988.0,1982.0,b'3 - BSc/MSc',1181.0,3.0,1.0,343.07,0.44,395.52,93.35,135.36,12.78,14.67
159.0,1976.0,1958.0,b'3 - BSc/MSc',3044.0,2.0,1.0,413.31,0.22,484.98,-35.0,71.79,26.56,11.67
160.0,1996.0,1974.0,b'3 - BSc/MSc',2234.0,2.0,1.0,-52.0,1.05,497.76,-15.0,91.35,7.89,-12.0
161.0,1983.0,1972.0,b'3 - BSc/MSc',3082.0,4.0,1.0,509.11,0.06,551.66,-15.55,28.45,7.0,-3.0
162.0,1975.0,1977.0,b'3 - BSc/MSc',2285.0,1.0,0.0,471.21,0.25,349.4,87.8,142.47,9.78,68.79
163.0,1984.0,1976.0,b'3 - BSc/MSc',1652.0,1.0,1.0,423.64,0.3,429.97,63.35,124.69,18.67,1.89
164.0,1991.0,1973.0,b'2 - High School',2412.0,4.0,1.0,103.02,0.81,416.08,128.35,127.47,7.89,-4.11
165.0,1997.0,1985.0,b'3 - BSc/MSc',1402.0,2.0,1.0,269.61,0.51,282.72,38.35,249.38,18.56,6.67
166.0,1981.0,1974.0,b'3 - BSc/MSc',2155.0,4.0,0.0,446.08,0.26,429.97,64.45,117.8,12.67,10.67
167.0,1995.0,1951.0,b'1 - Basic',3617.0,4.0,1.0,493.43,0.52,120.8,599.0,160.14,128.69,80.57
168.0,1996.0,1941.0,b'3 - BSc/MSc',3994.0,2.0,0.0,188.93,0.67,228.6,97.25,284.61,14.67,25.67
169.0,1977.0,1997.0,b'2 - High School',927.0,4.0,1.0,205.16,0.72,158.03,313.4,245.38,93.13,9.89
170.0,1988.0,1953.0,b'3 - BSc/MSc',3196.0,3.0,0.0,211.84,0.58,249.38,-10.55,311.17,4.78,3.78
171.0,1984.0,1941.0,b'1 - Basic',3916.0,4.0,0.0,455.87,0.4,182.7,274.5,212.93,23.67,106.8
172.0,1990.0,1989.0,b'3 - BSc/MSc',1086.0,4.0,1.0,-165680.42,256.2,378.07,78.9,166.81,6.89,18.45
173.0,1987.0,1960.0,b'2 - High School',2609.0,4.0,1.0,437.31,0.29,342.51,88.35,176.81,7.78,39.23
174.0,1993.0,1966.0,b'2 - High School',2902.0,2.0,1.0,5.34,0.96,256.05,342.85,132.47,40.34,70.68
175.0,1990.0,1979.0,b'4 - PhD',1664.0,1.0,1.0,38.01,0.9,458.31,63.9,99.24,1.89,2.78
176.0,1977.0,1966.0,b'2 - High School',2854.0,4.0,1.0,360.63,0.32,389.85,-5.0,151.03,24.45,5.78
177.0,1985.0,1968.0,b'3 - BSc/MSc',3198.0,4.0,0.0,-57.9,1.05,236.49,88.9,230.82,57.9,63.9
178.0,1987.0,1963.0,b'2 - High School',2103.0,3.0,1.0,453.2,0.28,455.42,78.35,104.13,3.0,19.78
179.0,1988.0,1976.0,b'3 - BSc/MSc',1979.0,3.0,1.0,74.35,0.86,324.06,113.35,216.93,11.67,25.67
180.0,1984.0,1982.0,b'2 - High School',1739.0,3.0,0.0,284.07,0.6,99.02,263.95,158.03,45.12,209.04
181.0,1980.0,1944.0,b'3 - BSc/MSc',3234.0,3.0,0.0,61.13,0.91,162.81,397.85,242.38,76.68,38.45
182.0,1982.0,1941.0,b'2 - High School',4091.0,1.0,0.0,-25.66,1.0,263.05,363.4,220.93,28.56,-0.22
183.0,1995.0,1991.0,b'2 - High School',826.0,1.0,0.0,133.92,0.86,158.92,634.0,207.26,73.57,23.45
184.0,1977.0,1973.0,b'3 - BSc/MSc',2195.0,2.0,1.0,465.65,0.22,431.86,59.45,129.58,6.89,-0.22
185.0,1993.0,1984.0,b'2 - High School',2419.0,4.0,1.0,-62.23,1.07,,253.95,230.6,5.89,43.12
186.0,1983.0,1982.0,b'3 - BSc/MSc',1020.0,1.0,1.0,426.64,0.27,451.64,53.35,101.02,1.89,14.67
187.0,1993.0,1999.0,b'1 - Basic',1247.0,2.0,1.0,-128.24,1.07,33.23,1026.3,82.57,75.68,212.15
188.0,1984.0,1982.0,b'4 - PhD',1924.0,4.0,1.0,422.99,0.19,461.2,-10.55,92.13,3.89,7.89
189.0,1977.0,1951.0,b'3 - BSc/MSc',3035.0,3.0,1.0,201.82,0.79,233.71,560.65,200.26,6.89,56.01
190.0,1986.0,1954.0,b'3 - BSc/MSc',3057.0,2.0,1.0,9.34,0.94,314.95,24.45,129.58,9.89,120.69
191.0,1978.0,1971.0,b'3 - BSc/MSc',2620.0,4.0,1.0,18.34,0.93,532.88,34.45,29.34,11.89,-1.0
192.0,1996.0,1994.0,b'1 - Basic',1486.0,2.0,0.0,872.07,0.12,106.02,587.9,76.46,22.45,225.6
193.0,1978.0,1952.0,b'3 - BSc/MSc',3544.0,4.0,1.0,436.42,0.25,421.3,34.45,150.14,-6.0,17.67
194.0,1991.0,1975.0,b'4 - PhD',2549.0,2.0,1.0,-25.0,1.0,491.87,39.45,80.35,5.89,6.0
195.0,1990.0,1978.0,b'3 - BSc/MSc',2349.0,4.0,1.0,-101.0,1.14,469.31,-65.0,115.8,,11.0
196.0,1986.0,1958.0,b'3 - BSc/MSc',3115.0,4.0,0.0,379.63,0.39,346.62,68.9,199.37,20.67,31.56
197.0,1994.0,1943.0,b'3 - BSc/MSc',3806.0,4.0,1.0,-51.54,1.05,499.76,-25.55,60.9,22.56,2.0
198.0,1990.0,1945.0,b'4 - PhD',3746.0,3.0,0.0,168.71,0.66,211.93,-5.55,289.5,58.01,12.67
199.0,1995.0,1955.0,b'3 - BSc/MSc',3333.0,4.0,1.0,-30.78,1.01,488.87,8.9,64.68,5.78,7.89
200.0,1996.0,1958.0,b'3 - BSc/MSc',3221.0,4.0,1.0,278.38,0.62,290.39,271.15,195.26,9.89,32.23
201.0,1989.0,1985.0,b'3 - BSc/MSc',1938.0,1.0,1.0,303.09,0.38,390.52,-30.55,167.81,-1.11,-0.11
202.0,1991.0,1953.0,b'1 - Basic',2686.0,3.0,1.0,263.62,0.62,344.73,244.5,128.47,48.01,3.89
203.0,1989.0,1960.0,b'3 - BSc/MSc',2544.0,4.0,1.0,183.26,0.84,163.03,927.4,159.92,45.23,34.34
204.0,1996.0,1985.0,b'2 - High School',1592.0,3.0,1.0,50.9,0.88,185.7,53.35,267.94,67.79,42.01
205.0,1983.0,1961.0,b'2 - High School',2782.0,1.0,1.0,-122.24,1.13,314.28,200.05,134.36,34.23,63.01
206.0,1976.0,1983.0,b'2 - High School',1968.0,3.0,1.0,328.73,0.46,343.62,63.9,170.81,30.34,40.45
207.0,1978.0,1952.0,b'2 - High School',2900.0,1.0,0.0,260.72,0.64,178.59,258.95,240.49,89.46,17.67
208.0,1997.0,1945.0,b'3 - BSc/MSc',3960.0,3.0,0.0,45.02,0.89,313.28,58.35,245.49,11.67,12.89
209.0,1992.0,1965.0,b'2 - High School',3032.0,4.0,1.0,410.86,0.43,263.27,215.6,213.04,24.56,43.01
